TKOs Quarterly Net Income (Millions of US $),TKOs Quarterly Net Income (Millions of US $).1
2024-06-30,$59
2024-03-31,$-104
2023-12-31,$-95
2023-09-30,$-22
2023-06-30,$81
2023-03-31,
2022-12-31,
2022-09-30,
2022-06-30,$49
2022-03-31,$66
2021-12-31,
2021-09-30,$43
2021-06-30,$29
2021-03-31,$44
2020-12-31,$14
2020-09-30,$48
2020-06-30,$44
2020-03-31,$26
2019-12-31,$69
2019-09-30,$6
2019-06-30,$10
2019-03-31,$-8
2018-12-31,$41
2018-09-30,$34
2018-06-30,$10
2018-03-31,$15
2017-12-31,$5
2017-09-30,$22
2017-06-30,$5
2017-03-31,$1
2016-12-31,$8
2016-09-30,$11
2016-06-30,$1
2016-03-31,$14
2015-12-31,$-1
2015-09-30,$10
2015-06-30,$5
2015-03-31,$10
2014-12-31,$-2
2014-09-30,$-6
2014-06-30,$-14
2014-03-31,$-8
2013-12-31,$-8
2013-09-30,$2
2013-06-30,$5
2013-03-31,$3
2012-12-31,$1
2012-09-30,$4
2012-06-30,$12
2012-03-31,$15
2011-12-31,$-9
2011-09-30,$11
2011-06-30,$14
2011-03-31,$9
2010-12-31,$8
2010-09-30,$14
2010-06-30,$6
2010-03-31,$25
2009-12-31,$11
2009-09-30,$9
2009-06-30,$20
2009-03-31,$10
