Tronox Holdings Quarterly Net Income (Millions of US $),Tronox Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$-9
2023-12-31,$-56
2023-09-30,$-14
2023-06-30,$-269
2023-03-31,$23
2022-12-31,$-15
2022-09-30,$121
2022-06-30,$375
2022-03-31,$16
2021-12-31,$83
2021-09-30,$111
2021-06-30,$73
2021-03-31,$19
2020-12-31,$45
2020-09-30,$896
2020-06-30,$-4
2020-03-31,$32
2019-12-31,
2019-09-30,$-13
2019-06-30,$-62
2019-03-31,$-34
2018-12-31,$-5
2018-09-30,$6
2018-06-30,$36
2018-03-31,$-44
2017-12-31,
2017-09-30,$-247
2017-06-30,$3
2017-03-31,$-41
2016-12-31,$121
2016-09-30,$-37
2016-06-30,$-52
2016-03-31,$-93
2015-12-31,$-101
2015-09-30,$-60
2015-06-30,$-119
2015-03-31,$-49
2014-12-31,$-276
2014-09-30,$-93
2014-06-30,
2014-03-31,$-58
2013-12-31,$-7
2013-09-30,$-49
2013-06-30,$-13
2013-03-31,$-57
2012-12-31,$-93
2012-09-30,$-3
2012-06-30,"$1,144"
2012-03-31,$86
2011-12-31,$66
2011-09-30,$99
2011-06-30,$66
2011-03-31,$642
2010-12-31,$-39
2010-09-30,$-26
2010-06-30,$12
2010-03-31,$59
2009-12-31,
