PVH Quarterly Net Income (Millions of US $),PVH Quarterly Net Income (Millions of US $).1
2024-07-31,$158
2024-04-30,$151
2024-01-31,$272
2023-10-31,$162
2023-07-31,$94
2023-04-30,$136
2023-01-31,$139
2022-10-31,$-187
2022-07-31,$115
2022-04-30,$133
2022-01-31,$391
2021-10-31,$280
2021-07-31,$182
2021-04-30,$100
2021-01-31,$-58
2020-10-31,$70
2020-07-31,$-51
2020-04-30,"$-1,097"
2020-01-31,$-67
2019-10-31,$209
2019-07-31,$194
2019-04-30,$82
2019-01-31,$159
2018-10-31,$243
2018-07-31,$165
2018-04-30,$179
2018-01-31,$109
2017-10-31,$239
2017-07-31,$120
2017-04-30,$70
2017-01-31,$101
2016-10-31,$126
2016-07-31,$91
2016-04-30,$232
2016-01-31,$134
2015-10-31,$222
2015-07-31,$102
2015-04-30,$114
2015-01-31,$52
2014-10-31,$226
2014-07-31,$127
2014-04-30,$35
2014-01-31,$-38
2013-10-31,$197
2013-07-31,$-5
2013-04-30,$-10
2013-01-31,$80
2012-10-31,$163
2012-07-31,$87
2012-04-30,$91
2012-01-31,$37
2011-10-31,$106
2011-07-31,$63
2011-04-30,$54
2011-01-31,$50
2010-10-31,$100
2010-07-31,$-71
2010-04-30,$-28
2010-01-31,$27
2009-10-31,$84
2009-07-31,$27
2009-04-30,$25
2009-01-31,$-38
