Urban Outfitters Quarterly Net Income (Millions of US $),Urban Outfitters Quarterly Net Income (Millions of US $).1
2024-07-31,$117
2024-04-30,$62
2024-01-31,$48
2023-10-31,$83
2023-07-31,$104
2023-04-30,$53
2023-01-31,$31
2022-10-31,$37
2022-07-31,$59
2022-04-30,$32
2022-01-31,$41
2021-10-31,$89
2021-07-31,$127
2021-04-30,$54
2021-01-31,$29
2020-10-31,$77
2020-07-31,$34
2020-04-30,$-138
2020-01-31,$20
2019-10-31,$56
2019-07-31,$60
2019-04-30,$33
2019-01-31,$86
2018-10-31,$78
2018-07-31,$93
2018-04-30,$41
2018-01-31,$1
2017-10-31,$45
2017-07-31,$50
2017-04-30,$12
2017-01-31,$64
2016-10-31,$47
2016-07-31,$77
2016-04-30,$30
2016-01-31,$73
2015-10-31,$52
2015-07-31,$67
2015-04-30,$33
2015-01-31,$80
2014-10-31,$47
2014-07-31,$68
2014-04-30,$37
2014-01-31,$89
2013-10-31,$70
2013-07-31,$76
2013-04-30,$47
2013-01-31,$83
2012-10-31,$60
2012-07-31,$61
2012-04-30,$34
2012-01-31,$39
2011-10-31,$51
2011-07-31,$57
2011-04-30,$39
2011-01-31,$75
2010-10-31,$73
2010-07-31,$72
2010-04-30,$53
2010-01-31,$78
2009-10-31,$62
2009-07-31,$49
2009-04-30,$31
2009-01-31,$41
