La-Z-Boy Quarterly Net Income (Millions of US $),La-Z-Boy Quarterly Net Income (Millions of US $).1
2024-07-31,$26
2024-04-30,$39
2024-01-31,$29
2023-10-31,$27
2023-07-31,$27
2023-04-30,$34
2023-01-31,$32
2022-10-31,$46
2022-07-31,$38
2022-04-30,$57
2022-01-31,$28
2021-10-31,$40
2021-07-31,$25
2021-04-30,$38
2021-01-31,$29
2020-10-31,$35
2020-07-31,$5
2020-04-30,$2
2020-01-31,$35
2019-10-31,$23
2019-07-31,$18
2019-04-30,$2
2019-01-31,$29
2018-10-31,$20
2018-07-31,$18
2018-04-30,$34
2018-01-31,$12
2017-10-31,$23
2017-07-31,$12
2017-04-30,$28
2017-01-31,$23
2016-10-31,$21
2016-07-31,$14
2016-04-30,$23
2016-01-31,$22
2015-10-31,$21
2015-07-31,$14
2015-04-30,$20
2015-01-31,$18
2014-10-31,$20
2014-07-31,$13
2014-04-30,$12
2014-01-31,$16
2013-10-31,$17
2013-07-31,$9
2013-04-30,$18
2013-01-31,$17
2012-10-31,$7
2012-07-31,$4
2012-04-30,$19
2012-01-31,$15
2011-10-31,$8
2011-07-31,$45
2011-04-30,$10
2011-01-31,$10
2010-10-31,$4
2010-07-31,$-0
2010-04-30,$13
2010-01-31,$11
2009-10-31,$6
2009-07-31,$2
2009-04-30,$4
2009-01-31,$-65
