Huntington Bancshares Quarterly Net Income (Millions of US $),Huntington Bancshares Quarterly Net Income (Millions of US $).1
2024-06-30,$439
2024-03-31,$383
2023-12-31,$215
2023-09-30,$510
2023-06-30,$519
2023-03-31,$573
2022-12-31,$617
2022-09-30,$565
2022-06-30,$511
2022-03-31,$432
2021-12-31,$377
2021-09-30,$333
2021-06-30,$-58
2021-03-31,$501
2020-12-31,$281
2020-09-30,$275
2020-06-30,$131
2020-03-31,$30
2019-12-31,$298
2019-09-30,$354
2019-06-30,$346
2019-03-31,$339
2018-12-31,$315
2018-09-30,$360
2018-06-30,$334
2018-03-31,$314
2017-12-31,$412
2017-09-30,$256
2017-06-30,$253
2017-03-31,$189
2016-12-31,$221
2016-09-30,$108
2016-06-30,$155
2016-03-31,$163
2015-12-31,$170
2015-09-30,$145
2015-06-30,$188
2015-03-31,$158
2014-12-31,$156
2014-09-30,$147
2014-06-30,$157
2014-03-31,$141
2013-12-31,$150
2013-09-30,$171
2013-06-30,$143
2013-03-31,$145
2012-12-31,$150
2012-09-30,$160
2012-06-30,$145
2012-03-31,$145
2011-12-31,$119
2011-09-30,$136
2011-06-30,$138
2011-03-31,$119
2010-12-31,$39
2010-09-30,$71
2010-06-30,$19
2010-03-31,$10
2009-12-31,$-399
2009-09-30,$-195
2009-06-30,$-183
2009-03-31,"$-2,492"
