Annaly Capital Management Inc Quarterly Net Income (Millions of US $),Annaly Capital Management Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$-47
2024-03-31,$426
2023-12-31,$-441
2023-09-30,$-599
2023-06-30,$131
2023-03-31,$-876
2022-12-31,$-918
2022-09-30,$-302
2022-06-30,$840
2022-03-31,"$1,995"
2021-12-31,$389
2021-09-30,$492
2021-06-30,$-323
2021-03-31,"$1,724"
2020-12-31,$842
2020-09-30,$980
2020-06-30,$821
2020-03-31,"$-3,676"
2019-12-31,"$1,174"
2019-09-30,$-783
2019-06-30,"$-1,809"
2019-03-31,$-882
2018-12-31,"$-2,287"
2018-09-30,$354
2018-06-30,$565
2018-03-31,"$1,294"
2017-12-31,$715
2017-09-30,$337
2017-06-30,$-9
2017-03-31,$417
2016-12-31,"$1,825"
2016-09-30,$708
2016-06-30,$-296
2016-03-31,$-886
2015-12-31,$652
2015-09-30,$-645
2015-06-30,$882
2015-03-31,$-494
2014-12-31,$-676
2014-09-30,$337
2014-06-30,$-354
2014-03-31,$-221
2013-12-31,"$1,011"
2013-09-30,$174
2013-06-30,"$1,620"
2013-03-31,$852
2012-12-31,$681
2012-09-30,$215
2012-06-30,$-98
2012-03-31,$898
2011-12-31,$441
2011-09-30,$-926
2011-06-30,$117
2011-03-31,$696
2010-12-31,"$1,214"
2010-09-30,$-19
2010-06-30,$-223
2010-03-31,$276
2009-12-31,$725
2009-09-30,$281
2009-06-30,$592
2009-03-31,$345
