Grocery Outlet Holding Quarterly Net Income (Millions of US $),Grocery Outlet Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$14
2024-03-31,$-1
2023-12-31,$14
2023-09-30,$27
2023-06-30,$24
2023-03-31,$14
2022-12-31,$16
2022-09-30,$17
2022-06-30,$20
2022-03-31,$12
2021-12-31,$7
2021-09-30,$17
2021-06-30,$20
2021-03-31,$19
2020-12-31,$24
2020-09-30,$40
2020-06-30,$29
2020-03-31,$13
2019-12-31,$10
2019-09-30,$12
2019-06-30,$-11
2019-03-31,$4
2018-12-31,
2018-09-30,$8
2018-06-30,$7
2017-12-31,
