Garrett Motion Quarterly Net Income (Millions of US $),Garrett Motion Quarterly Net Income (Millions of US $).1
2024-06-30,$64
2024-03-31,$66
2023-12-31,$52
2023-09-30,$57
2023-06-30,$-201
2023-03-31,$41
2022-12-31,$163
2022-09-30,$14
2022-06-30,$46
2022-03-31,$10
2021-12-31,$91
2021-09-30,$27
2021-06-30,$385
2021-03-31,$-105
2020-12-31,$26
2020-09-30,$11
2020-06-30,$-9
2020-03-31,$52
2019-12-31,$136
2019-09-30,$38
2019-06-30,$66
2019-03-31,$73
2018-12-31,$69
2018-09-30,$929
2018-06-30,$150
2018-03-31,$58
2017-12-31,
2017-09-30,$57
2016-12-31,
