Entegris Quarterly Net Income (Millions of US $),Entegris Quarterly Net Income (Millions of US $).1
2024-06-30,$68
2024-03-31,$45
2023-12-31,$38
2023-09-30,$33
2023-06-30,$198
2023-03-31,$-88
2022-12-31,$57
2022-09-30,$-74
2022-06-30,$99
2022-03-31,$126
2021-12-31,$118
2021-09-30,$117
2021-06-30,$89
2021-03-31,$85
2020-12-31,$87
2020-09-30,$79
2020-06-30,$68
2020-03-31,$61
2019-12-31,$57
2019-09-30,$41
2019-06-30,$124
2019-03-31,$33
2018-12-31,$81
2018-09-30,$48
2018-06-30,$54
2018-03-31,$58
2017-12-31,$-28
2017-09-30,$41
2017-06-30,$40
2017-03-31,$33
2016-12-31,$26
2016-09-30,$22
2016-06-30,$33
2016-03-31,$16
2015-12-31,$18
2015-09-30,$23
2015-06-30,$24
2015-03-31,$15
2014-12-31,$9
2014-09-30,$-1
2014-06-30,$-15
2014-03-31,$14
2013-12-31,$21
2013-09-30,$18
2013-06-30,$20
2013-03-31,$16
2012-12-31,$11
2012-09-30,$18
2012-06-30,$22
2012-03-31,$18
2011-12-31,$40
2011-09-30,$22
2011-06-30,$33
2011-03-31,$29
2010-12-31,$27
2010-09-30,$22
2010-06-30,$18
2010-03-31,$17
2009-12-31,$10
2009-09-30,$-8
2009-06-30,$-22
2009-03-31,$-38
