Andersons Quarterly Net Income (Millions of US $),Andersons Quarterly Net Income (Millions of US $).1
2024-06-30,$36
2024-03-31,$6
2023-12-31,$51
2023-09-30,$10
2023-06-30,$55
2023-03-31,$-15
2022-12-31,$9
2022-09-30,$37
2022-06-30,$80
2022-03-31,$6
2021-12-31,$30
2021-09-30,$16
2021-06-30,$43
2021-03-31,$15
2020-12-31,$16
2020-09-30,$-1
2020-06-30,$30
2020-03-31,$-38
2019-12-31,$7
2019-09-30,$-4
2019-06-30,$30
2019-03-31,$-14
2018-12-31,$24
2018-09-30,$-2
2018-06-30,$22
2018-03-31,$-2
2017-12-31,$70
2017-09-30,$3
2017-06-30,$-27
2017-03-31,$-3
2016-12-31,$10
2016-09-30,$2
2016-06-30,$14
2016-03-31,$-15
2015-12-31,$-47
2015-09-30,$-1
2015-06-30,$31
2015-03-31,$4
2014-12-31,$26
2014-09-30,$17
2014-06-30,$44
2014-03-31,$23
2013-12-31,$31
2013-09-30,$17
2013-06-30,$29
2013-03-31,$13
2012-12-31,$15
2012-09-30,$17
2012-06-30,$29
2012-03-31,$18
2011-12-31,$22
2011-09-30,$11
2011-06-30,$45
2011-03-31,$17
2010-12-31,$26
2010-09-30,$1
2010-06-30,$25
2010-03-31,$12
2009-12-31,$16
2009-09-30,$1
2009-06-30,$16
2009-03-31,$5
