OFG Bancorp Quarterly Net Income (Millions of US $),OFG Bancorp Quarterly Net Income (Millions of US $).1
2024-09-30,$47
2024-06-30,$51
2024-03-31,$50
2023-12-31,$47
2023-09-30,$45
2023-06-30,$44
2023-03-31,$46
2022-12-31,$46
2022-09-30,$42
2022-06-30,$40
2022-03-31,$38
2021-12-31,$33
2021-09-30,$42
2021-06-30,$41
2021-03-31,$29
2020-12-31,$22
2020-09-30,$26
2020-06-30,$20
2020-03-31,$0
2019-12-31,$-3
2019-09-30,$6
2019-06-30,$22
2019-03-31,$22
2018-12-31,$23
2018-09-30,$20
2018-06-30,$16
2018-03-31,$13
2017-12-31,$14
2017-09-30,$-0
2017-06-30,$14
2017-03-31,$12
2016-12-31,$12
2016-09-30,$12
2016-06-30,$11
2016-03-31,$11
2015-12-31,$-4
2015-09-30,$1
2015-06-30,$-7
2015-03-31,$-6
2014-12-31,$17
2014-09-30,$16
2014-06-30,$18
2014-03-31,$20
2013-12-31,$17
2013-09-30,$16
2013-06-30,$34
2013-03-31,$18
2012-12-31,$-23
2012-09-30,$15
2012-06-30,$14
2012-03-31,$9
2011-12-31,$-13
2011-09-30,$16
2011-06-30,$25
2011-03-31,$2
2010-12-31,$7
2010-09-30,$-32
2010-06-30,$-4
2010-03-31,$11
2009-12-31,$-75
2009-09-30,$20
2009-06-30,$50
2009-03-31,$24
