Sunstone Hotel Investors Quarterly Net Income (Millions of US $),Sunstone Hotel Investors Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$9
2023-12-31,$124
2023-09-30,$12
2023-06-30,$39
2023-03-31,$17
2022-12-31,$14
2022-09-30,$17
2022-06-30,$32
2022-03-31,$10
2021-12-31,$135
2021-09-30,$-29
2021-06-30,$-35
2021-03-31,$-57
2020-12-31,$-41
2020-09-30,$-92
2020-06-30,$-119
2020-03-31,$-165
2019-12-31,$41
2019-09-30,$28
2019-06-30,$41
2019-03-31,$13
2018-12-31,$73
2018-09-30,$86
2018-06-30,$46
2018-03-31,$33
2017-12-31,$16
2017-09-30,$12
2017-06-30,$46
2017-03-31,$59
2016-12-31,$30
2016-09-30,$34
2016-06-30,$57
2016-03-31,$-3
2015-12-31,$234
2015-09-30,$59
2015-06-30,$49
2015-03-31,$-3
2014-12-31,$11
2014-09-30,$30
2014-06-30,$40
2014-03-31,$-8
2013-12-31,$3
2013-09-30,$12
2013-06-30,$15
2013-03-31,$18
2012-12-31,$4
2012-09-30,$31
2012-06-30,$4
2012-03-31,$-21
2011-12-31,$0
2011-09-30,$-24
2011-06-30,$31
2011-03-31,$46
2010-12-31,$31
2010-09-30,$18
2010-06-30,$-5
2010-03-31,$-26
2009-12-31,$-133
2009-09-30,$-23
2009-06-30,$-135
2009-03-31,$1
