Viavi Solutions Quarterly Net Income (Millions of US $),Viavi Solutions Quarterly Net Income (Millions of US $).1
2024-06-30,$-22
2024-03-31,$-25
2023-12-31,$11
2023-09-30,$10
2023-06-30,$-0
2023-03-31,$-15
2022-12-31,$8
2022-09-30,$33
2022-06-30,$17
2022-03-31,$19
2021-12-31,$35
2021-09-30,$-55
2021-06-30,$3
2021-03-31,$17
2020-12-31,$27
2020-09-30,$20
2020-06-30,$47
2020-03-31,$-33
2019-12-31,$28
2019-09-30,$7
2019-06-30,$13
2019-03-31,$-5
2018-12-31,$13
2018-09-30,$-15
2018-06-30,$-29
2018-03-31,$-11
2017-12-31,$-1
2017-09-30,$-8
2017-06-30,$7
2017-03-31,$26
2016-12-31,$49
2016-09-30,$78
2016-06-30,$-68
2016-03-31,$34
2015-12-31,$4
2015-09-30,$-69
2015-06-30,$-40
2015-03-31,$-13
2014-12-31,$-25
2014-09-30,$-10
2014-06-30,$-25
2014-03-31,$-2
2013-12-31,$9
2013-09-30,$0
2013-06-30,$93
2013-03-31,$-28
2012-12-31,$4
2012-09-30,$-12
2012-06-30,$-22
2012-03-31,$-17
2011-12-31,$-10
2011-09-30,$-6
2011-06-30,$9
2011-03-31,$39
2010-12-31,$24
2010-09-30,$0
2010-06-30,$2
2010-03-31,$-12
2009-12-31,$-20
2009-09-30,$-32
2009-06-30,$-64
2009-03-31,$-102
