CVB Financial Quarterly Net Income (Millions of US $),CVB Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$50
2024-03-31,$48
2023-12-31,$48
2023-09-30,$57
2023-06-30,$55
2023-03-31,$59
2022-12-31,$66
2022-09-30,$64
2022-06-30,$59
2022-03-31,$45
2021-12-31,$48
2021-09-30,$50
2021-06-30,$51
2021-03-31,$64
2020-12-31,$50
2020-09-30,$47
2020-06-30,$41
2020-03-31,$38
2019-12-31,$51
2019-09-30,$50
2019-06-30,$54
2019-03-31,$52
2018-12-31,$43
2018-09-30,$38
2018-06-30,$35
2018-03-31,$35
2017-12-31,$18
2017-09-30,$30
2017-06-30,$28
2017-03-31,$28
2016-12-31,$27
2016-09-30,$25
2016-06-30,$25
2016-03-31,$23
2015-12-31,$28
2015-09-30,$28
2015-06-30,$27
2015-03-31,$16
2014-12-31,$25
2014-09-30,$24
2014-06-30,$25
2014-03-31,$29
2013-12-31,$25
2013-09-30,$24
2013-06-30,$24
2013-03-31,$22
2012-12-31,$22
2012-09-30,$9
2012-06-30,$24
2012-03-31,$22
2011-12-31,$22
2011-09-30,$22
2011-06-30,$21
2011-03-31,$17
2010-12-31,$10
2010-09-30,$18
2010-06-30,$19
2010-03-31,$16
2009-12-31,$17
2009-09-30,$10
2009-06-30,$14
2009-03-31,$11
