ANSYS Quarterly Net Income (Millions of US $),ANSYS Quarterly Net Income (Millions of US $).1
2024-06-30,$130
2024-03-31,$35
2023-12-31,$275
2023-09-30,$56
2023-06-30,$70
2023-03-31,$101
2022-12-31,$258
2022-09-30,$96
2022-06-30,$99
2022-03-31,$71
2021-12-31,$203
2021-09-30,$85
2021-06-30,$94
2021-03-31,$72
2020-12-31,$216
2020-09-30,$76
2020-06-30,$97
2020-03-31,$46
2019-12-31,$166
2019-09-30,$89
2019-06-30,$110
2019-03-31,$86
2018-12-31,$153
2018-09-30,$89
2018-06-30,$93
2018-03-31,$84
2017-12-31,$53
2017-09-30,$74
2017-06-30,$70
2017-03-31,$63
2016-12-31,$70
2016-09-30,$70
2016-06-30,$70
2016-03-31,$56
2015-12-31,$68
2015-09-30,$66
2015-06-30,$62
2015-03-31,$56
2014-12-31,$70
2014-09-30,$65
2014-06-30,$63
2014-03-31,$57
2013-12-31,$76
2013-09-30,$62
2013-06-30,$56
2013-03-31,$51
2012-12-31,$56
2012-09-30,$52
2012-06-30,$50
2012-03-31,$46
2011-12-31,$47
2011-09-30,$46
2011-06-30,$45
2011-03-31,$42
2010-12-31,$49
2010-09-30,$36
2010-06-30,$35
2010-03-31,$32
2009-12-31,$38
2009-09-30,$31
2009-06-30,$27
2009-03-31,$21
