Terex Quarterly Net Income (Millions of US $),Terex Quarterly Net Income (Millions of US $).1
2024-06-30,$141
2024-03-31,$109
2023-12-31,$127
2023-09-30,$119
2023-06-30,$159
2023-03-31,$113
2022-12-31,$92
2022-09-30,$82
2022-06-30,$74
2022-03-31,$52
2021-12-31,$59
2021-09-30,$48
2021-06-30,$74
2021-03-31,$40
2020-12-31,$18
2020-09-30,$6
2020-06-30,$-9
2020-03-31,$-25
2019-12-31,$25
2019-09-30,$21
2019-06-30,$75
2019-03-31,$-67
2018-12-31,$-33
2018-09-30,$39
2018-06-30,$58
2018-03-31,$50
2017-12-31,$-27
2017-09-30,$59
2017-06-30,$101
2017-03-31,$-5
2016-12-31,$-267
2016-09-30,$97
2016-06-30,$65
2016-03-31,$-71
2015-12-31,$17
2015-09-30,$44
2015-06-30,$85
2015-03-31,$1
2014-12-31,$80
2014-09-30,$64
2014-06-30,$140
2014-03-31,$35
2013-12-31,$86
2013-09-30,$94
2013-06-30,$21
2013-03-31,$24
2012-12-31,$-33
2012-09-30,$30
2012-06-30,$86
2012-03-31,$23
2011-12-31,$-3
2011-09-30,$37
2011-06-30,$-1
2011-03-31,$12
2010-12-31,$-45
2010-09-30,$-96
2010-06-30,$-40
2010-03-31,$540
2009-12-31,$-143
2009-09-30,$-103
2009-06-30,$-78
2009-03-31,$-75
