Sanmina Quarterly Net Income (Millions of US $),Sanmina Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$52
2023-12-31,$57
2023-09-30,$62
2023-06-30,$76
2023-03-31,$80
2022-12-31,$92
2022-09-30,$58
2022-06-30,$77
2022-03-31,$49
2021-12-31,$56
2021-09-30,$37
2021-06-30,$117
2021-03-31,$47
2020-12-31,$48
2020-09-30,$45
2020-06-30,$45
2020-03-31,$5
2019-12-31,$38
2019-09-30,$20
2019-06-30,$43
2019-03-31,$41
2018-12-31,$38
2018-09-30,$1
2018-06-30,$34
2018-03-31,$25
2017-12-31,$-155
2017-09-30,$26
2017-06-30,$36
2017-03-31,$32
2016-12-31,$45
2016-09-30,$101
2016-06-30,$30
2016-03-31,$30
2015-12-31,$27
2015-09-30,$315
2015-06-30,$24
2015-03-31,$15
2014-12-31,$23
2014-09-30,$133
2014-06-30,$21
2014-03-31,$21
2013-12-31,$23
2013-09-30,$39
2013-06-30,$19
2013-03-31,$21
2012-12-31,$1
2012-09-30,$164
2012-06-30,$9
2012-03-31,$-1
2011-12-31,$9
2011-09-30,$18
2011-06-30,$9
2011-03-31,$13
2010-12-31,$28
2010-09-30,$31
2010-06-30,$22
2010-03-31,$10
2009-12-31,$59
2009-09-30,$-33
2009-06-30,$-42
2009-03-31,$-38
