Alaska Air Quarterly Net Income (Millions of US $),Alaska Air Quarterly Net Income (Millions of US $).1
2024-06-30,$220
2024-03-31,$-132
2023-12-31,$-2
2023-09-30,$139
2023-06-30,$240
2023-03-31,$-142
2022-12-31,$22
2022-09-30,$40
2022-06-30,$139
2022-03-31,$-143
2021-12-31,$18
2021-09-30,$194
2021-06-30,$397
2021-03-31,$-131
2020-12-31,$-447
2020-09-30,$-431
2020-06-30,$-214
2020-03-31,$-232
2019-12-31,$181
2019-09-30,$322
2019-06-30,$262
2019-03-31,$4
2018-12-31,$23
2018-09-30,$217
2018-06-30,$193
2018-03-31,$4
2017-12-31,$315
2017-09-30,$259
2017-06-30,$293
2017-03-31,$93
2016-12-31,$97
2016-09-30,$256
2016-06-30,$260
2016-03-31,$184
2015-12-31,$191
2015-09-30,$274
2015-06-30,$234
2015-03-31,$149
2014-12-31,$148
2014-09-30,$198
2014-06-30,$165
2014-03-31,$94
2013-12-31,$78
2013-09-30,$289
2013-06-30,$104
2013-03-31,$37
2012-12-31,$44
2012-09-30,$163
2012-06-30,$68
2012-03-31,$41
2011-12-31,$65
2011-09-30,$78
2011-06-30,$29
2011-03-31,$74
2010-12-31,$65
2010-09-30,$122
2010-06-30,$59
2010-03-31,$5
2009-12-31,$24
2009-09-30,$88
2009-06-30,$29
2009-03-31,$-19
