Texas Capital Bancshares Quarterly Net Income (Millions of US $),Texas Capital Bancshares Quarterly Net Income (Millions of US $).1
2024-09-30,$-66
2024-06-30,$37
2024-03-31,$22
2023-12-31,$16
2023-09-30,$57
2023-06-30,$64
2023-03-31,$34
2022-12-31,$213
2022-09-30,$37
2022-06-30,$30
2022-03-31,$35
2021-12-31,$61
2021-09-30,$39
2021-06-30,$67
2021-03-31,$68
2020-12-31,$58
2020-09-30,$55
2020-06-30,$-37
2020-03-31,$-19
2019-12-31,$61
2019-09-30,$86
2019-06-30,$75
2019-03-31,$80
2018-12-31,$62
2018-09-30,$83
2018-06-30,$69
2018-03-31,$70
2017-12-31,$42
2017-09-30,$56
2017-06-30,$49
2017-03-31,$40
2016-12-31,$46
2016-09-30,$40
2016-06-30,$36
2016-03-31,$23
2015-12-31,$32
2015-09-30,$35
2015-06-30,$36
2015-03-31,$33
2014-12-31,$35
2014-09-30,$34
2014-06-30,$31
2014-03-31,$26
2013-12-31,$28
2013-09-30,$31
2013-06-30,$22
2013-03-31,$33
2012-12-31,$31
2012-09-30,$33
2012-06-30,$30
2012-03-31,$27
2011-12-31,$26
2011-09-30,$22
2011-06-30,$17
2011-03-31,$12
2010-12-31,$12
2010-09-30,$10
2010-06-30,$8
2010-03-31,$8
2009-12-31,$5
2009-09-30,$5
2009-06-30,$2
2009-03-31,$6
