Carlisle Quarterly Net Income (Millions of US $),Carlisle Quarterly Net Income (Millions of US $).1
2024-06-30,$712
2024-03-31,$192
2023-12-31,$204
2023-09-30,$266
2023-06-30,$195
2023-03-31,$102
2022-12-31,$172
2022-09-30,$255
2022-06-30,$302
2022-03-31,$194
2021-12-31,$127
2021-09-30,$142
2021-06-30,$99
2021-03-31,$52
2020-12-31,$80
2020-09-30,$102
2020-06-30,$75
2020-03-31,$62
2019-12-31,$100
2019-09-30,$139
2019-06-30,$153
2019-03-31,$79
2018-12-31,$88
2018-09-30,$100
2018-06-30,$114
2018-03-31,$310
2017-12-31,$115
2017-09-30,$86
2017-06-30,$102
2017-03-31,$62
2016-12-31,$76
2016-09-30,$-10
2016-06-30,$115
2016-03-31,$69
2015-12-31,$82
2015-09-30,$104
2015-06-30,$95
2015-03-31,$39
2014-12-31,$53
2014-09-30,$87
2014-06-30,$75
2014-03-31,$36
2013-12-31,$70
2013-09-30,$77
2013-06-30,$8
2013-03-31,$55
2012-12-31,$48
2012-09-30,$70
2012-06-30,$93
2012-03-31,$60
2011-12-31,$39
2011-09-30,$54
2011-06-30,$55
2011-03-31,$33
2010-12-31,$32
2010-09-30,$50
2010-06-30,$38
2010-03-31,$24
2009-12-31,$35
2009-09-30,$46
2009-06-30,$55
2009-03-31,$7
