Xylem Quarterly Net Income (Millions of US $),Xylem Quarterly Net Income (Millions of US $).1
2024-06-30,$194
2024-03-31,$153
2023-12-31,$266
2023-09-30,$152
2023-06-30,$92
2023-03-31,$99
2022-12-31,$149
2022-09-30,$12
2022-06-30,$112
2022-03-31,$82
2021-12-31,$113
2021-09-30,$114
2021-06-30,$113
2021-03-31,$87
2020-12-31,$148
2020-09-30,$37
2020-06-30,$31
2020-03-31,$38
2019-12-31,$118
2019-09-30,$65
2019-06-30,$139
2019-03-31,$79
2018-12-31,$225
2018-09-30,$130
2018-06-30,$115
2018-03-31,$79
2017-12-31,$71
2017-09-30,$105
2017-06-30,$99
2017-03-31,$56
2016-12-31,$50
2016-09-30,$73
2016-06-30,$71
2016-03-31,$66
2015-12-31,$114
2015-09-30,$88
2015-06-30,$74
2015-03-31,$64
2014-12-31,$96
2014-09-30,$106
2014-06-30,$86
2014-03-31,$49
2013-12-31,$68
2013-09-30,$73
2013-06-30,$46
2013-03-31,$41
2012-12-31,$73
2012-09-30,$72
2012-06-30,$89
2012-03-31,$63
2011-12-31,$52
2011-09-30,$77
2011-06-30,$72
2011-03-31,$78
2010-12-31,$97
2010-09-30,$91
2010-06-30,$85
2010-03-31,$56
2009-12-31,
