Kosmos Energy Quarterly Net Income (Millions of US $),Kosmos Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$60
2024-03-31,$92
2023-12-31,$22
2023-09-30,$85
2023-06-30,$23
2023-03-31,$83
2022-12-31,$-114
2022-09-30,$222
2022-06-30,$117
2022-03-31,$1
2021-12-31,$99
2021-09-30,$-29
2021-06-30,$-57
2021-03-31,$-91
2020-12-31,$8
2020-09-30,$-37
2020-06-30,$-199
2020-03-31,$-183
2019-12-31,$-36
2019-09-30,$16
2019-06-30,$17
2019-03-31,$-53
2018-12-31,$186
2018-09-30,$-126
2018-06-30,$-103
2018-03-31,$-50
2017-12-31,$-122
2017-09-30,$-63
2017-06-30,$-8
2017-03-31,$-29
2016-12-31,$-57
2016-09-30,$-60
2016-06-30,$-108
2016-03-31,$-59
2015-12-31,$24
2015-09-30,$60
2015-06-30,$-75
2015-03-31,$-79
2014-12-31,$129
2014-09-30,$19
2014-06-30,$57
2014-03-31,$75
2013-12-31,$4
2013-09-30,$-44
2013-06-30,$-71
2013-03-31,$20
2012-12-31,$32
2012-09-30,$-36
2012-06-30,$-25
2012-03-31,$-38
2011-12-31,$37
2011-09-30,$49
2011-06-30,$-17
2011-03-31,$-71
2010-12-31,$-65
2010-09-30,$-99
2010-06-30,$-49
2010-03-31,$-81
2009-12-31,
