Morningstar Quarterly Net Income (Millions of US $),Morningstar Quarterly Net Income (Millions of US $).1
2024-06-30,$69
2024-03-31,$64
2023-12-31,$74
2023-09-30,$39
2023-06-30,$36
2023-03-31,$-8
2022-12-31,$3
2022-09-30,$-9
2022-06-30,$30
2022-03-31,$46
2021-12-31,$57
2021-09-30,$49
2021-06-30,$33
2021-03-31,$55
2020-12-31,$75
2020-09-30,$76
2020-06-30,$48
2020-03-31,$24
2019-12-31,$28
2019-09-30,$49
2019-06-30,$42
2019-03-31,$33
2018-12-31,$42
2018-09-30,$57
2018-06-30,$42
2018-03-31,$42
2017-12-31,$39
2017-09-30,$34
2017-06-30,$46
2017-03-31,$18
2016-12-31,$70
2016-09-30,$30
2016-06-30,$32
2016-03-31,$29
2015-12-31,$37
2015-09-30,$34
2015-06-30,$32
2015-03-31,$30
2014-12-31,$32
2014-09-30,$30
2014-06-30,$-10
2014-03-31,$26
2013-12-31,$31
2013-09-30,$31
2013-06-30,$31
2013-03-31,$30
2012-12-31,$33
2012-09-30,$27
2012-06-30,$28
2012-03-31,$20
2011-12-31,$28
2011-09-30,$21
2011-06-30,$26
2011-03-31,$23
2010-12-31,$24
2010-09-30,$25
2010-06-30,$18
2010-03-31,$20
2009-12-31,$14
2009-09-30,$23
2009-06-30,$21
2009-03-31,$25
