Brixmor Property Group Quarterly Net Income (Millions of US $),Brixmor Property Group Quarterly Net Income (Millions of US $).1
2024-06-30,$70
2024-03-31,$89
2023-12-31,$72
2023-09-30,$64
2023-06-30,$56
2023-03-31,$112
2022-12-31,$106
2022-09-30,$80
2022-06-30,$88
2022-03-31,$79
2021-12-31,$81
2021-09-30,$46
2021-06-30,$90
2021-03-31,$52
2020-12-31,$24
2020-09-30,$28
2020-06-30,$9
2020-03-31,$60
2019-12-31,$61
2019-09-30,$81
2019-06-30,$69
2019-03-31,$63
2018-12-31,$78
2018-09-30,$147
2018-06-30,$80
2018-03-31,$61
2017-12-31,$70
2017-09-30,$83
2017-06-30,$75
2017-03-31,$72
2016-12-31,$93
2016-09-30,$57
2016-06-30,$64
2016-03-31,$60
2015-12-31,$55
2015-09-30,$54
2015-06-30,$54
2015-03-31,$30
2014-12-31,$23
2014-09-30,$27
2014-06-30,$23
2014-03-31,$15
2013-12-31,$-12
2013-09-30,$-19
2013-06-30,$-43
2013-03-31,$-19
2012-12-31,
2012-09-30,$-28
2011-12-31,
2010-12-31,
