Brookfield Business Partners Quarterly Net Income (Millions of US $),Brookfield Business Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$-7
2024-03-31,$17
2023-12-31,$488
2023-09-30,$-15
2023-06-30,$-16
2023-03-31,$25
2022-12-31,$-5
2022-09-30,$-14
2022-06-30,$47
2022-03-31,$8
2021-12-31,$-19
2021-09-30,$46
2021-06-30,$-50
2021-03-31,$281
2020-12-31,$45
2020-09-30,$-10
2020-06-30,$-59
2020-03-31,$-67
2019-12-31,$-57
2019-09-30,$13
2019-06-30,$55
2019-03-31,$32
2018-12-31,$70
2018-09-30,$-1
2018-06-30,$40
2018-03-31,$-35
2017-12-31,$-79
2017-09-30,$-8
2017-06-30,$-3
2017-03-31,$32
2016-12-31,$-5
2016-09-30,$9
2016-06-30,$-1
2016-03-31,
2015-12-31,$-549
2015-09-30,$20
2015-06-30,
2015-03-31,$695
2014-12-31,
