Match Group Quarterly Net Income (Millions of US $),Match Group Quarterly Net Income (Millions of US $).1
2024-06-30,$133
2024-03-31,$123
2023-12-31,$230
2023-09-30,$164
2023-06-30,$137
2023-03-31,$121
2022-12-31,$85
2022-09-30,$129
2022-06-30,$-32
2022-03-31,$181
2021-12-31,$-169
2021-09-30,$131
2021-06-30,$141
2021-03-31,$174
2020-12-31,$141
2020-09-30,$141
2020-06-30,$75
2020-03-31,$-203
2019-12-31,$100
2019-09-30,$129
2019-06-30,$113
2019-03-31,$89
2018-12-31,$192
2018-09-30,$146
2018-06-30,$218
2018-03-31,$71
2017-12-31,$33
2017-09-30,$180
2017-06-30,$66
2017-03-31,$26
2016-12-31,$102
2016-09-30,$43
2016-06-30,$-195
2016-03-31,$8
2015-12-31,$-32
2015-09-30,$66
2015-06-30,$59
2015-03-31,$26
2014-12-31,$70
2014-09-30,$327
2014-06-30,$-18
2014-03-31,$36
2013-12-31,$77
2013-09-30,$97
2013-06-30,$58
2013-03-31,$54
2012-12-31,$41
2012-09-30,$41
2012-06-30,$43
2012-03-31,$34
2011-12-31,$49
2011-09-30,$65
2011-06-30,$42
2011-03-31,$18
2010-12-31,$87
2010-09-30,$18
2010-06-30,$14
2010-03-31,$-19
2009-12-31,"$-1,013"
2009-09-30,$22
2009-06-30,$41
2009-03-31,$-28
