Hovnanian Enterprises Inc Quarterly Net Income (Millions of US $),Hovnanian Enterprises Inc Quarterly Net Income (Millions of US $).1
2024-07-31,$69
2024-04-30,$46
2024-01-31,$20
2023-10-31,$86
2023-07-31,$50
2023-04-30,$29
2023-01-31,$15
2022-10-31,$48
2022-07-31,$71
2022-04-30,$54
2022-01-31,$22
2021-10-31,$39
2021-07-31,$48
2021-04-30,$444
2021-01-31,$19
2020-10-31,$37
2020-07-31,$14
2020-04-30,$4
2020-01-31,$-9
2019-10-31,$-2
2019-07-31,$-8
2019-04-30,$-15
2019-01-31,$-17
2018-10-31,$46
2018-07-31,$-1
2018-04-30,$-10
2018-01-31,$-31
2017-10-31,$12
2017-07-31,$-337
2017-04-30,$-7
2017-01-31,$-0
2016-10-31,$22
2016-07-31,$-0
2016-04-30,$-8
2016-01-31,$-16
2015-10-31,$26
2015-07-31,$-8
2015-04-30,$-20
2015-01-31,$-14
2014-10-31,$316
2014-07-31,$17
2014-04-30,$-8
2014-01-31,$-25
2013-10-31,$33
2013-07-31,$8
2013-04-30,$1
2013-01-31,$-11
2012-10-31,$-84
2012-07-31,$35
2012-04-30,$2
2012-01-31,$-18
2011-10-31,$-98
2011-07-31,$-51
2011-04-30,$-73
2011-01-31,$-64
2010-10-31,$-132
2010-07-31,$-73
2010-04-30,$-29
2010-01-31,$236
2009-10-31,$-251
2009-07-31,$-169
2009-04-30,$-119
2009-01-31,$-178
