American Water Works Quarterly Net Income (Millions of US $),American Water Works Quarterly Net Income (Millions of US $).1
2024-06-30,$277
2024-03-31,$185
2023-12-31,$171
2023-09-30,$323
2023-06-30,$280
2023-03-31,$170
2022-12-31,$147
2022-09-30,$297
2022-06-30,$218
2022-03-31,$158
2021-12-31,$645
2021-09-30,$278
2021-06-30,$207
2021-03-31,$133
2020-12-31,$145
2020-09-30,$264
2020-06-30,$176
2020-03-31,$124
2019-12-31,$98
2019-09-30,$240
2019-06-30,$170
2019-03-31,$113
2018-12-31,$112
2018-09-30,$187
2018-06-30,$162
2018-03-31,$106
2017-12-31,$-1
2017-09-30,$203
2017-06-30,$131
2017-03-31,$93
2016-12-31,$101
2016-09-30,$148
2016-06-30,$137
2016-03-31,$82
2015-12-31,$99
2015-09-30,$174
2015-06-30,$123
2015-03-31,$80
2014-12-31,$93
2014-09-30,$152
2014-06-30,$109
2014-03-31,$68
2013-12-31,$59
2013-09-30,$151
2013-06-30,$101
2013-03-31,$58
2012-12-31,$55
2012-09-30,$154
2012-06-30,$107
2012-03-31,$42
2011-12-31,$65
2011-09-30,$137
2011-06-30,$81
2011-03-31,$26
2010-12-31,$40
2010-09-30,$124
2010-06-30,$73
2010-03-31,$31
2009-12-31,$36
2009-09-30,$92
2009-06-30,$52
2009-03-31,$-413
