New Mountain Finance Quarterly Net Income (Millions of US $),New Mountain Finance Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$27
2023-12-31,$27
2023-09-30,$29
2023-06-30,$35
2023-03-31,$45
2022-12-31,$15
2022-09-30,$8
2022-06-30,$16
2022-03-31,$36
2021-12-31,$52
2021-09-30,$22
2021-06-30,$76
2021-03-31,$51
2020-12-31,$66
2020-09-30,$88
2020-06-30,$76
2020-03-31,$-172
2019-12-31,$21
2019-09-30,$23
2019-06-30,$24
2019-03-31,$44
2018-12-31,$-1
2018-09-30,$27
2018-06-30,$23
2018-03-31,$24
2017-12-31,$27
2017-09-30,$25
2017-06-30,$27
2017-03-31,$30
2016-12-31,$34
2016-09-30,$25
2016-06-30,$45
2016-03-31,$8
2015-12-31,$-20
2015-09-30,$10
2015-06-30,$20
2015-03-31,$23
2014-12-31,$-9
2014-09-30,$7
2014-06-30,$24
2014-03-31,$23
2013-12-31,$18
2013-09-30,$17
2013-06-30,$11
2013-03-31,$16
2012-12-31,$10
2012-09-30,$10
2012-06-30,$4
2012-03-31,$8
2011-09-30,$-4
2011-06-30,
