Urban Edge Properties Quarterly Net Income (Millions of US $),Urban Edge Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$3
2023-12-31,$221
2023-09-30,$36
2023-06-30,$10
2023-03-31,$-19
2022-12-31,$14
2022-09-30,$11
2022-06-30,$12
2022-03-31,$9
2021-12-31,$42
2021-09-30,$28
2021-06-30,$13
2021-03-31,$20
2020-12-31,$19
2020-09-30,$-6
2020-06-30,$31
2020-03-31,$49
2019-12-31,$3
2019-09-30,$54
2019-06-30,$27
2019-03-31,$26
2018-12-31,$7
2018-09-30,$24
2018-06-30,$54
2018-03-31,$21
2017-12-31,$-14
2017-09-30,$17
2017-06-30,$14
2017-03-31,$51
2016-12-31,$19
2016-09-30,$19
2016-06-30,$34
2016-03-31,$19
2015-12-31,$15
2015-09-30,$19
2015-06-30,$16
2015-03-31,$-11
2014-12-31,$16
2014-09-30,$14
2014-06-30,$18
2014-03-31,$18
2013-12-31,
2012-12-31,
