Bank Of Montreal Quarterly Net Income (Millions of US $),Bank Of Montreal Quarterly Net Income (Millions of US $).1
2024-07-31,"$1,362"
2024-04-30,"$1,266"
2024-01-31,$925
2023-10-31,"$1,079"
2023-07-31,"$1,057"
2023-04-30,$699
2023-01-31,$155
2022-10-31,"$3,326"
2022-07-31,"$1,024"
2022-04-30,"$3,714"
2022-01-31,"$2,272"
2021-10-31,"$1,562"
2021-07-31,"$1,852"
2021-04-30,"$1,035"
2021-01-31,"$1,524"
2020-10-31,"$1,087"
2020-07-31,$901
2020-04-30,$464
2020-01-31,"$1,157"
2019-10-31,$825
2019-07-31,"$1,128"
2019-04-30,"$1,087"
2019-01-31,"$1,134"
2018-10-31,"$1,386"
2018-07-31,"$1,139"
2018-04-30,$940
2018-01-31,$734
2017-10-31,$892
2017-07-31,"$1,012"
2017-04-30,$905
2017-01-31,"$1,081"
2016-10-31,$937
2016-07-31,$930
2016-04-30,$733
2016-01-31,$773
2015-10-31,$920
2015-07-31,$952
2015-04-30,$794
2015-01-31,$784
2014-10-31,$927
2014-07-31,"$1,027"
2014-04-30,$979
2014-01-31,$944
2013-10-31,"$1,011"
2013-07-31,"$1,065"
2013-04-30,$924
2013-01-31,"$1,006"
2012-10-31,"$1,071"
2012-07-31,$960
2012-04-30,$994
2012-01-31,"$1,086"
2011-10-31,$884
2011-07-31,$805
2011-04-30,$819
2011-01-31,$795
2010-10-31,$735
2010-07-31,$638
2010-04-30,$692
2010-01-31,$623
2009-10-31,$603
2009-07-31,$496
2009-04-30,$318
2009-01-31,$228
