ArcBest Quarterly Net Income (Millions of US $),ArcBest Quarterly Net Income (Millions of US $).1
2024-06-30,$47
2024-03-31,$-2
2023-12-31,$49
2023-09-30,$35
2023-06-30,$40
2023-03-31,$71
2022-12-31,$37
2022-09-30,$89
2022-06-30,$102
2022-03-31,$70
2021-12-31,$65
2021-09-30,$64
2021-06-30,$61
2021-03-31,$23
2020-12-31,$24
2020-09-30,$29
2020-06-30,$16
2020-03-31,$2
2019-12-31,$-6
2019-09-30,$16
2019-06-30,$24
2019-03-31,$5
2018-12-31,$15
2018-09-30,$41
2018-06-30,$1
2018-03-31,$10
2017-12-31,$37
2017-09-30,$15
2017-06-30,$16
2017-03-31,$-7
2016-12-31,$2
2016-09-30,$13
2016-06-30,$10
2016-03-31,$-6
2015-12-31,$5
2015-09-30,$19
2015-06-30,$20
2015-03-31,$1
2014-12-31,$15
2014-09-30,$20
2014-06-30,$17
2014-03-31,$-5
2013-12-31,$11
2013-09-30,$13
2013-06-30,$5
2013-03-31,$-13
2012-12-31,$-7
2012-09-30,$6
2012-06-30,$11
2012-03-31,$-18
2011-12-31,$2
2011-09-30,$12
2011-06-30,$5
2011-03-31,$-13
2010-12-31,$-3
2010-09-30,$-1
2010-06-30,$-7
2010-03-31,$-21
2009-12-31,$-89
2009-09-30,$-6
2009-06-30,$-15
2009-03-31,$-18
