OneMain Holdings Quarterly Net Income (Millions of US $),OneMain Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$71
2024-03-31,$155
2023-12-31,$165
2023-09-30,$194
2023-06-30,$103
2023-03-31,$179
2022-12-31,$176
2022-09-30,$185
2022-06-30,$208
2022-03-31,$303
2021-12-31,$263
2021-09-30,$288
2021-06-30,$350
2021-03-31,$413
2020-12-31,$359
2020-09-30,$250
2020-06-30,$89
2020-03-31,$32
2019-12-31,$261
2019-09-30,$248
2019-06-30,$194
2019-03-31,$152
2018-12-31,$168
2018-09-30,$148
2018-06-30,$7
2018-03-31,$124
2017-12-31,$39
2017-09-30,$69
2017-06-30,$42
2017-03-31,$33
2016-12-31,$27
2016-09-30,$25
2016-06-30,$26
2016-03-31,$137
2015-12-31,$-195
2015-09-30,$-13
2015-06-30,$-12
2015-03-31,
2014-12-31,$-88
2014-09-30,$427
2014-06-30,$72
2014-03-31,$52
2013-12-31,$27
2013-09-30,$-93
2013-06-30,$56
2013-03-31,$-10
2012-12-31,
2012-09-30,$-45
2012-06-30,
2011-12-31,
