Hilltop Holdings Quarterly Net Income (Millions of US $),Hilltop Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$28
2023-12-31,$29
2023-09-30,$37
2023-06-30,$18
2023-03-31,$26
2022-12-31,$26
2022-09-30,$32
2022-06-30,$33
2022-03-31,$22
2021-12-31,$62
2021-09-30,$93
2021-06-30,$99
2021-03-31,$120
2020-12-31,$116
2020-09-30,$153
2020-06-30,$128
2020-03-31,$50
2019-12-31,$49
2019-09-30,$79
2019-06-30,$58
2019-03-31,$39
2018-12-31,$28
2018-09-30,$36
2018-06-30,$33
2018-03-31,$24
2017-12-31,$13
2017-09-30,$30
2017-06-30,$62
2017-03-31,$26
2016-12-31,$35
2016-09-30,$52
2016-06-30,$31
2016-03-31,$28
2015-12-31,$21
2015-09-30,$47
2015-06-30,$30
2015-03-31,$112
2014-12-31,$32
2014-09-30,$23
2014-06-30,$27
2014-03-31,$24
2013-12-31,$30
2013-09-30,$38
2013-06-30,$21
2013-03-31,$32
2012-12-31,$9
2012-09-30,$-4
2012-06-30,$-11
2012-03-31,$0
2011-12-31,$5
2011-09-30,$0
2011-06-30,$-13
2011-03-31,$1
2010-12-31,$1
2010-09-30,$1
2010-06-30,$-3
2010-03-31,$0
2009-12-31,$3
2009-09-30,$2
2009-06-30,$-8
2009-03-31,$1
