OUTFRONT Media Quarterly Net Income (Millions of US $),OUTFRONT Media Quarterly Net Income (Millions of US $).1
2024-06-30,$177
2024-03-31,$-27
2023-12-31,$54
2023-09-30,$15
2023-06-30,$-479
2023-03-31,$-29
2022-12-31,$55
2022-09-30,$39
2022-06-30,$48
2022-03-31,$-6
2021-12-31,$57
2021-09-30,$26
2021-06-30,$-1
2021-03-31,$-75
2020-12-31,$-3
2020-09-30,$-21
2020-06-30,$-63
2020-03-31,$6
2019-12-31,$45
2019-09-30,$39
2019-06-30,$50
2019-03-31,$6
2018-12-31,$57
2018-09-30,$47
2018-06-30,$-5
2018-03-31,$9
2017-12-31,$36
2017-09-30,$51
2017-06-30,$37
2017-03-31,$3
2016-12-31,$27
2016-09-30,$38
2016-06-30,$29
2016-03-31,$-2
2015-12-31,$-74
2015-09-30,$21
2015-06-30,$22
2015-03-31,$1
2014-12-31,$28
2014-09-30,$248
2014-06-30,$22
2014-03-31,$8
2013-12-31,$50
2013-09-30,$37
2013-06-30,$36
2013-03-31,$20
2012-12-31,
2011-12-31,
