PENN Entertainment Quarterly Net Income (Millions of US $),PENN Entertainment Quarterly Net Income (Millions of US $).1
2024-06-30,$-27
2024-03-31,$-115
2023-12-31,$-358
2023-09-30,$-725
2023-06-30,$78
2023-03-31,$515
2022-12-31,$21
2022-09-30,$123
2022-06-30,$26
2022-03-31,$52
2021-12-31,$45
2021-09-30,$86
2021-06-30,$199
2021-03-31,$91
2020-12-31,$12
2020-09-30,$141
2020-06-30,$-214
2020-03-31,$-609
2019-12-31,$-93
2019-09-30,$44
2019-06-30,$52
2019-03-31,$41
2018-12-31,$-42
2018-09-30,$36
2018-06-30,$54
2018-03-31,$45
2017-12-31,$-338
2017-09-30,$789
2017-06-30,$17
2017-03-31,$5
2016-12-31,$14
2016-09-30,$43
2016-06-30,$31
2016-03-31,$21
2015-12-31,$-8
2015-09-30,$4
2015-06-30,$3
2015-03-31,$2
2014-12-31,$-150
2014-09-30,$-15
2014-06-30,$-19
2014-03-31,$1
2013-12-31,$-656
2013-09-30,$34
2013-06-30,$-12
2013-03-31,$53
2012-12-31,$43
2012-09-30,$37
2012-06-30,$67
2012-03-31,$63
2011-12-31,$36
2011-09-30,$57
2011-06-30,$62
2011-03-31,$42
2010-12-31,$-135
2010-09-30,$39
2010-06-30,$7
2010-03-31,$29
2009-12-31,$-338
2009-09-30,$17
2009-06-30,$23
2009-03-31,$33
