Williams-Sonoma Quarterly Net Income (Millions of US $),Williams-Sonoma Quarterly Net Income (Millions of US $).1
2024-07-31,$226
2024-04-30,$266
2024-01-31,$354
2023-10-31,$237
2023-07-31,$202
2023-04-30,$157
2023-01-31,$355
2022-10-31,$252
2022-07-31,$267
2022-04-30,$254
2022-01-31,$403
2021-10-31,$250
2021-07-31,$246
2021-04-30,$228
2021-01-31,$309
2020-10-31,$202
2020-07-31,$135
2020-04-30,$35
2020-01-31,$166
2019-10-31,$75
2019-07-31,$63
2019-04-30,$53
2019-01-31,$155
2018-10-31,$81
2018-07-31,$52
2018-04-30,$45
2018-01-31,$96
2017-10-31,$71
2017-07-31,$53
2017-04-30,$40
2017-01-31,$145
2016-10-31,$69
2016-07-31,$52
2016-04-30,$40
2016-01-31,$141
2015-10-31,$70
2015-07-31,$54
2015-04-30,$45
2015-01-31,$147
2014-10-31,$65
2014-07-31,$51
2014-04-30,$46
2014-01-31,$134
2013-10-31,$57
2013-07-31,$49
2013-04-30,$39
2013-01-31,$134
2012-10-31,$49
2012-07-31,$43
2012-04-30,$31
2012-01-31,$123
2011-10-31,$43
2011-07-31,$39
2011-04-30,$32
2011-01-31,$113
2010-10-31,$37
2010-07-31,$31
2010-04-30,$20
2010-01-31,$88
2009-10-31,$7
2009-07-31,$0
2009-04-30,$-19
2009-01-31,$12
