Xerox Holdings Quarterly Net Income (Millions of US $),Xerox Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$-117
2023-12-31,$-61
2023-09-30,$45
2023-06-30,$-64
2023-03-31,$67
2022-12-31,$118
2022-09-30,$-387
2022-06-30,$-7
2022-03-31,$-60
2021-12-31,$-685
2021-09-30,$90
2021-06-30,$91
2021-03-31,$35
2020-12-31,$70
2020-09-30,$90
2020-06-30,$24
2020-03-31,$-6
2019-12-31,$825
2019-09-30,$217
2019-06-30,$178
2019-03-31,$133
2018-12-31,$140
2018-09-30,$89
2018-06-30,$109
2018-03-31,$23
2017-12-31,$-190
2017-09-30,$179
2017-06-30,$166
2017-03-31,$40
2016-12-31,$175
2016-09-30,$183
2016-06-30,$158
2016-03-31,$34
2015-12-31,$250
2015-09-30,$-40
2015-06-30,$12
2015-03-31,$225
2014-12-31,$156
2014-09-30,$266
2014-06-30,$266
2014-03-31,$281
2013-12-31,$306
2013-09-30,$286
2013-06-30,$271
2013-03-31,$296
2012-12-31,$335
2012-09-30,$282
2012-06-30,$309
2012-03-31,$269
2011-12-31,$357
2011-09-30,$320
2011-06-30,$313
2011-03-31,$281
2010-12-31,$159
2010-09-30,$244
2010-06-30,$227
2010-03-31,$-45
2009-12-31,$180
2009-09-30,$123
2009-06-30,$140
2009-03-31,$42
