GATX Quarterly Net Income (Millions of US $),GATX Quarterly Net Income (Millions of US $).1
2024-06-30,$44
2024-03-31,$73
2023-12-31,$67
2023-09-30,$53
2023-06-30,$62
2023-03-31,$77
2022-12-31,$48
2022-09-30,$29
2022-06-30,$3
2022-03-31,$76
2021-12-31,$61
2021-09-30,$40
2021-06-30,$6
2021-03-31,$37
2020-12-31,$18
2020-09-30,$48
2020-06-30,$39
2020-03-31,$46
2019-12-31,$57
2019-09-30,$45
2019-06-30,$68
2019-03-31,$42
2018-12-31,$49
2018-09-30,$47
2018-06-30,$39
2018-03-31,$76
2017-12-31,$342
2017-09-30,$49
2017-06-30,$53
2017-03-31,$58
2016-12-31,$31
2016-09-30,$96
2016-06-30,$61
2016-03-31,$69
2015-12-31,$58
2015-09-30,$40
2015-06-30,$45
2015-03-31,$62
2014-12-31,$59
2014-09-30,$51
2014-06-30,$53
2014-03-31,$42
2013-12-31,$53
2013-09-30,$54
2013-06-30,$35
2013-03-31,$27
2012-12-31,$30
2012-09-30,$54
2012-06-30,$24
2012-03-31,$30
2011-12-31,$32
2011-09-30,$33
2011-06-30,$26
2011-03-31,$20
2010-12-31,$20
2010-09-30,$21
2010-06-30,$22
2010-03-31,$19
2009-12-31,$22
2009-09-30,$20
2009-06-30,$13
2009-03-31,$28
