Danaos Quarterly Net Income (Millions of US $),Danaos Quarterly Net Income (Millions of US $).1
2024-06-30,$141
2024-03-31,$150
2023-12-31,$150
2023-09-30,$133
2023-06-30,$147
2023-03-31,$146
2022-12-31,$153
2022-09-30,$67
2022-06-30,$8
2022-03-31,$331
2021-12-31,$166
2021-09-30,$217
2021-06-30,$373
2021-03-31,$297
2020-12-31,$43
2020-09-30,$43
2020-06-30,$38
2020-03-31,$29
2019-12-31,$34
2019-09-30,$34
2019-06-30,$30
2019-03-31,$33
2018-12-31,$-181
2018-09-30,$127
2018-06-30,$6
2018-03-31,$15
2017-12-31,$23
2017-09-30,$22
2017-06-30,$20
2017-03-31,$18
2016-12-31,$-447
2016-09-30,$-8
2016-06-30,$45
2016-03-31,$44
2015-12-31,$7
2015-09-30,$42
2015-06-30,$38
2015-03-31,$30
2014-12-31,$-51
2014-09-30,$22
2014-06-30,$17
2014-03-31,$8
2013-12-31,$-4
2013-09-30,$9
2013-06-30,$20
2013-03-31,$13
2012-12-31,$-116
2012-09-30,$-7
2012-06-30,$9
2012-03-31,$9
2011-12-31,$9
2011-09-30,$-1
2011-06-30,$-0
2011-03-31,$5
2010-12-31,$-9
2010-09-30,$1
2010-06-30,$-15
2010-03-31,$-80
2009-12-31,$-16
2009-09-30,$16
2009-06-30,$16
2009-03-31,$20
