Delta Air Lines Quarterly Net Income (Millions of US $),Delta Air Lines Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,305"
2024-03-31,$37
2023-12-31,"$2,037"
2023-09-30,"$1,108"
2023-06-30,"$1,827"
2023-03-31,$-363
2022-12-31,$828
2022-09-30,$695
2022-06-30,$735
2022-03-31,$-940
2021-12-31,$-407
2021-09-30,"$1,212"
2021-06-30,$652
2021-03-31,"$-1,177"
2020-12-31,$-755
2020-09-30,"$-5,379"
2020-06-30,"$-5,717"
2020-03-31,$-534
2019-12-31,"$1,099"
2019-09-30,"$1,495"
2019-06-30,"$1,443"
2019-03-31,$730
2018-12-31,"$1,020"
2018-09-30,"$1,322"
2018-06-30,"$1,036"
2018-03-31,$557
2017-12-31,$299
2017-09-30,"$1,159"
2017-06-30,"$1,186"
2017-03-31,$561
2016-12-31,$444
2016-09-30,"$1,259"
2016-06-30,"$1,546"
2016-03-31,$946
2015-12-31,$980
2015-09-30,"$1,315"
2015-06-30,"$1,485"
2015-03-31,$746
2014-12-31,$-712
2014-09-30,$357
2014-06-30,$801
2014-03-31,$213
2013-12-31,"$8,479"
2013-09-30,"$1,369"
2013-06-30,$685
2013-03-31,$7
2012-12-31,$6
2012-09-30,"$1,047"
2012-06-30,$-168
2012-03-31,$124
2011-12-31,$425
2011-09-30,$549
2011-06-30,$198
2011-03-31,$-318
2010-12-31,$19
2010-09-30,$363
2010-06-30,$467
2010-03-31,$-256
2009-12-31,$-25
2009-09-30,$-161
2009-06-30,$-257
2009-03-31,$-794
