TreeHouse Foods Quarterly Net Income (Millions of US $),TreeHouse Foods Quarterly Net Income (Millions of US $).1
2024-06-30,$-17
2024-03-31,$-12
2023-12-31,$8
2023-09-30,$7
2023-06-30,$23
2023-03-31,$15
2022-12-31,$-23
2022-09-30,$-91
2022-06-30,$-29
2022-03-31,$-3
2021-12-31,$-29
2021-09-30,$7
2021-06-30,$8
2021-03-31,$2
2020-12-31,$34
2020-09-30,$12
2020-06-30,$-2
2020-03-31,$-31
2019-12-31,$16
2019-09-30,$-178
2019-06-30,$-172
2019-03-31,$-27
2018-12-31,$-13
2018-09-30,$3
2018-06-30,$-20
2018-03-31,$-34
2017-12-31,$-302
2017-09-30,$29
2017-06-30,$-34
2017-03-31,$28
2016-12-31,$-282
2016-09-30,$37
2016-06-30,$19
2016-03-31,$-3
2015-12-31,$37
2015-09-30,$28
2015-06-30,$31
2015-03-31,$18
2014-12-31,$34
2014-09-30,$20
2014-06-30,$22
2014-03-31,$14
2013-12-31,$23
2013-09-30,$23
2013-06-30,$19
2013-03-31,$23
2012-12-31,$25
2012-09-30,$22
2012-06-30,$20
2012-03-31,$22
2011-12-31,$30
2011-09-30,$30
2011-06-30,$14
2011-03-31,$20
2010-12-31,$28
2010-09-30,$25
2010-06-30,$22
2010-03-31,$16
2009-12-31,$22
2009-09-30,$28
2009-06-30,$18
2009-03-31,$13
