Philip Morris Quarterly Net Income (Millions of US $),Philip Morris Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,399"
2024-03-31,"$2,142"
2023-12-31,"$2,191"
2023-09-30,"$2,048"
2023-06-30,"$1,563"
2023-03-31,"$1,989"
2022-12-31,"$2,392"
2022-09-30,"$2,082"
2022-06-30,"$2,226"
2022-03-31,"$2,324"
2021-12-31,"$2,080"
2021-09-30,"$2,419"
2021-06-30,"$2,166"
2021-03-31,"$2,418"
2020-12-31,"$1,971"
2020-09-30,"$2,302"
2020-06-30,"$1,942"
2020-03-31,"$1,821"
2019-12-31,"$1,608"
2019-09-30,"$1,891"
2019-06-30,"$2,319"
2019-03-31,"$1,350"
2018-12-31,"$1,907"
2018-09-30,"$2,242"
2018-06-30,"$2,193"
2018-03-31,"$1,553"
2017-12-31,$692
2017-09-30,"$1,966"
2017-06-30,"$1,776"
2017-03-31,"$1,587"
2016-12-31,"$1,707"
2016-09-30,"$1,933"
2016-06-30,"$1,783"
2016-03-31,"$1,525"
2015-12-31,"$1,245"
2015-09-30,"$1,935"
2015-06-30,"$1,881"
2015-03-31,"$1,788"
2014-12-31,"$1,596"
2014-09-30,"$2,146"
2014-06-30,"$1,842"
2014-03-31,"$1,875"
2013-12-31,"$1,976"
2013-09-30,"$2,328"
2013-06-30,"$2,113"
2013-03-31,"$2,114"
2012-12-31,"$2,083"
2012-09-30,"$2,215"
2012-06-30,"$2,305"
2012-03-31,"$2,149"
2011-12-31,"$1,875"
2011-09-30,"$2,363"
2011-06-30,"$2,395"
2011-03-31,"$1,909"
2010-12-31,"$1,719"
2010-09-30,"$1,822"
2010-06-30,"$1,982"
2010-03-31,"$1,703"
2009-12-31,"$1,522"
2009-09-30,"$1,798"
2009-06-30,"$1,546"
2009-03-31,"$1,476"
