Qualys Quarterly Net Income (Millions of US $),Qualys Quarterly Net Income (Millions of US $).1
2024-06-30,$44
2024-03-31,$40
2023-12-31,$41
2023-09-30,$47
2023-06-30,$35
2023-03-31,$29
2022-12-31,$28
2022-09-30,$28
2022-06-30,$27
2022-03-31,$25
2021-12-31,$22
2021-09-30,$28
2021-06-30,$21
2021-03-31,$0
2020-12-31,$24
2020-09-30,$23
2020-06-30,$26
2020-03-31,$19
2019-12-31,$21
2019-09-30,$19
2019-06-30,$16
2019-03-31,$13
2018-12-31,$14
2018-09-30,$23
2018-06-30,$10
2018-03-31,$9
2017-12-31,$3
2017-09-30,$8
2017-06-30,$7
2017-03-31,$22
2016-12-31,$6
2016-09-30,$5
2016-06-30,$4
2016-03-31,$5
2015-12-31,$5
2015-09-30,$4
2015-06-30,$3
2015-03-31,$3
2014-12-31,$26
2014-09-30,$3
2014-06-30,$2
2014-03-31,$-0
2013-12-31,$-0
2013-09-30,$1
2013-06-30,$1
2013-03-31,$-1
2012-12-31,$1
2012-09-30,$0
2012-06-30,$-0
2012-03-31,$-0
2011-12-31,
2011-09-30,$0
2011-06-30,
2010-12-31,
2009-12-31,
