Lufax Holding Quarterly Net Income (Millions of US $),Lufax Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$-109
2024-03-31,$-121
2023-12-31,$-119
2023-09-30,$13
2023-06-30,$133
2023-03-31,$98
2022-12-31,$-161
2022-09-30,$187
2022-06-30,$434
2022-03-31,$833
2021-12-31,$462
2021-09-30,$641
2021-06-30,$739
2021-03-31,$762
2020-12-31,$442
2020-09-30,$322
