Unum Group Quarterly Net Income (Millions of US $),Unum Group Quarterly Net Income (Millions of US $).1
2024-06-30,$390
2024-03-31,$395
2023-12-31,$331
2023-09-30,$202
2023-06-30,$393
2023-03-31,$358
2022-12-31,$289
2022-09-30,$510
2022-06-30,$367
2022-03-31,$240
2021-12-31,$317
2021-09-30,$329
2021-06-30,$183
2021-03-31,$153
2020-12-31,$135
2020-09-30,$231
2020-06-30,$266
2020-03-31,$161
2019-12-31,$296
2019-09-30,$242
2019-06-30,$281
2019-03-31,$281
2018-12-31,$249
2018-09-30,$-285
2018-06-30,$286
2018-03-31,$274
2017-12-31,$267
2017-09-30,$252
2017-06-30,$245
2017-03-31,$230
2016-12-31,$248
2016-09-30,$236
2016-06-30,$237
2016-03-31,$211
2015-12-31,$226
2015-09-30,$204
2015-06-30,$224
2015-03-31,$213
2014-12-31,$-282
2014-09-30,$219
2014-06-30,$239
2014-03-31,$226
2013-12-31,$210
2013-09-30,$206
2013-06-30,$219
2013-03-31,$213
2012-12-31,$234
2012-09-30,$230
2012-06-30,$216
2012-03-31,$214
2011-12-31,$-369
2011-09-30,$202
2011-06-30,$228
2011-03-31,$224
2010-12-31,$218
2010-09-30,$221
2010-06-30,$210
2010-03-31,$230
2009-12-31,$199
2009-09-30,$221
2009-06-30,$267
2009-03-31,$165
