Hess Quarterly Net Income (Millions of US $),Hess Quarterly Net Income (Millions of US $).1
2024-06-30,$757
2024-03-31,$972
2023-12-31,$413
2023-09-30,$504
2023-06-30,$119
2023-03-31,$346
2022-12-31,$497
2022-09-30,$515
2022-06-30,$667
2022-03-31,$417
2021-12-31,$265
2021-09-30,$115
2021-06-30,$-73
2021-03-31,$252
2020-12-31,$-97
2020-09-30,$-243
2020-06-30,$-320
2020-03-31,"$-2,433"
2019-12-31,$-222
2019-09-30,$-212
2019-06-30,$-6
2019-03-31,$28
2018-12-31,$-16
2018-09-30,$-53
2018-06-30,$-142
2018-03-31,$-117
2017-12-31,"$-2,689"
2017-09-30,$-635
2017-06-30,$-460
2017-03-31,$-336
2016-12-31,"$-4,903"
2016-09-30,$-351
2016-06-30,$-404
2016-03-31,$-515
2015-12-31,"$-1,821"
2015-09-30,$-279
2015-06-30,$-567
2015-03-31,$-389
2014-12-31,$-8
2014-09-30,"$1,008"
2014-06-30,$931
2014-03-31,$386
2013-12-31,"$1,925"
2013-09-30,$420
2013-06-30,"$1,431"
2013-03-31,"$1,276"
2012-12-31,$374
2012-09-30,$557
2012-06-30,$549
2012-03-31,$545
2011-12-31,$-131
2011-09-30,$298
2011-06-30,$607
2011-03-31,$929
2010-12-31,$58
2010-09-30,"$1,154"
2010-06-30,$375
2010-03-31,$538
2009-12-31,$358
2009-09-30,$341
2009-06-30,$100
2009-03-31,$-59
