Diebold Nixdorf Quarterly Net Income (Millions of US $),Diebold Nixdorf Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$-15
2023-12-31,$44
2023-09-30,"$2,120"
2023-06-30,$-677
2023-03-31,$-111
2022-12-31,$-149
2022-09-30,$-50
2022-06-30,$-199
2022-03-31,$-183
2021-12-31,$-38
2021-09-30,$-2
2021-06-30,$-30
2021-03-31,$-8
2020-12-31,$-51
2020-09-30,$-101
2020-06-30,$-24
2020-03-31,$-93
2019-12-31,$-123
2019-09-30,$-36
2019-06-30,$-50
2019-03-31,$-133
2018-12-31,$-86
2018-09-30,$-239
2018-06-30,$-133
2018-03-31,$-73
2017-12-31,$-116
2017-09-30,$-36
2017-06-30,$-31
2017-03-31,$-59
2016-12-31,$-86
2016-09-30,$-102
2016-06-30,$-21
2016-03-31,$168
2015-12-31,$33
2015-09-30,$22
2015-06-30,$22
2015-03-31,$-3
2014-12-31,$30
2014-09-30,$33
2014-06-30,$42
2014-03-31,$10
2013-12-31,$-41
2013-09-30,$-22
2013-06-30,$-105
2013-03-31,$-13
2012-12-31,$-13
2012-09-30,$16
2012-06-30,$25
2012-03-31,$45
2011-12-31,$79
2011-09-30,$42
2011-06-30,$21
2011-03-31,$3
2010-12-31,$-120
2010-09-30,$46
2010-06-30,$30
2010-03-31,$24
2009-12-31,$1
2009-09-30,$-7
2009-06-30,$30
2009-03-31,$2
