TIM S.A Quarterly Net Income (Millions of US $),TIM S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$150
2024-03-31,$105
2023-12-31,$216
2023-09-30,$147
2023-06-30,$127
2023-03-31,$79
2022-12-31,$104
2022-09-30,$85
2022-06-30,$57
2022-03-31,$78
2021-12-31,$180
2021-09-30,$190
2021-06-30,$127
2021-03-31,$51
2020-12-31,$197
2020-09-30,$73
2020-06-30,$49
2020-03-31,$37
2019-12-31,$228
2019-09-30,$142
2019-06-30,$516
2019-03-31,$32
2018-12-31,$189
2018-09-30,$339
2018-06-30,$93
2018-03-31,$76
2017-12-31,$188
2017-09-30,$88
2017-06-30,$68
2017-03-31,$42
2016-12-31,$104
2016-09-30,$57
2016-06-30,$21
2016-03-31,$33
2015-12-31,$124
2015-09-30,$101
2015-06-30,$302
2015-03-31,$103
2014-12-31,$163
2014-09-30,$139
2014-06-30,$166
2014-03-31,$167
2013-12-31,$208
2013-09-30,$144
2013-06-30,$169
2013-03-31,$153
2012-12-31,$238
2012-09-30,$157
2012-06-30,$169
2012-03-31,$147
2011-12-31,$236
2011-09-30,$195
2011-06-30,$222
2011-03-31,$136
2010-12-31,"$1,129"
2010-09-30,$72
2010-06-30,$56
2010-03-31,$17
2009-12-31,$155
2009-09-30,$34
2009-06-30,$-8
2009-03-31,$-62
