NCR Voyix Quarterly Net Income (Millions of US $),NCR Voyix Quarterly Net Income (Millions of US $).1
2024-06-30,$-77
2024-03-31,$-44
2023-12-31,$-327
2023-09-30,$-128
2023-06-30,$13
2023-03-31,$3
2022-12-31,$-20
2022-09-30,$65
2022-06-30,$37
2022-03-31,$-38
2021-12-31,$60
2021-09-30,$8
2021-06-30,$-13
2021-03-31,$26
2020-12-31,$-209
2020-09-30,$25
2020-06-30,$57
2020-03-31,$17
2019-12-31,$453
2019-09-30,$11
2019-06-30,$76
2019-03-31,$24
2018-12-31,$-11
2018-09-30,$72
2018-06-30,$-157
2018-03-31,$8
2017-12-31,$41
2017-09-30,$118
2017-06-30,$90
2017-03-31,$-17
2016-12-31,$94
2016-09-30,$92
2016-06-30,$63
2016-03-31,$21
2015-12-31,$24
2015-09-30,$98
2015-06-30,$-344
2015-03-31,$40
2014-12-31,$33
2014-09-30,$15
2014-06-30,$90
2014-03-31,$53
2013-12-31,$198
2013-09-30,$98
2013-06-30,$86
2013-03-31,$61
2012-12-31,$242
2012-09-30,$87
2012-06-30,$102
2012-03-31,$50
2011-12-31,$-252
2011-09-30,$16
2011-06-30,$33
2011-03-31,$13
2010-12-31,$39
2010-09-30,$83
2010-06-30,$31
2010-03-31,$-19
2009-12-31,$-56
2009-09-30,$15
2009-06-30,$23
2009-03-31,$-15
