PennyMac Financial Services Quarterly Net Income (Millions of US $),PennyMac Financial Services Quarterly Net Income (Millions of US $).1
2024-06-30,$98
2024-03-31,$39
2023-12-31,$-37
2023-09-30,$93
2023-06-30,$58
2023-03-31,$30
2022-12-31,$38
2022-09-30,$135
2022-06-30,$129
2022-03-31,$174
2021-12-31,$173
2021-09-30,$249
2021-06-30,$204
2021-03-31,$377
2020-12-31,$453
2020-09-30,$535
2020-06-30,$353
2020-03-31,$306
2019-12-31,$153
2019-09-30,$121
2019-06-30,$73
2019-03-31,$46
2018-12-31,$39
2018-09-30,$14
2018-06-30,$18
2018-03-31,$17
2017-12-31,$62
2017-09-30,$17
2017-06-30,$10
2017-03-31,$11
2016-12-31,$23
2016-09-30,$24
2016-06-30,$14
2016-03-31,$5
2015-12-31,$13
2015-09-30,$13
2015-06-30,$13
2015-03-31,$9
2014-12-31,$9
2014-09-30,$10
2014-06-30,$10
2014-03-31,$8
2013-12-31,$-49
2013-09-30,$5
2013-06-30,$3
2013-03-31,$55
2012-12-31,
2012-09-30,$38
2012-06-30,$10
2011-12-31,
2010-12-31,
