Bio-Techne Corp Quarterly Net Income (Millions of US $),Bio-Techne Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$49
2023-12-31,$27
2023-09-30,$51
2023-06-30,$75
2023-03-31,$70
2022-12-31,$50
2022-09-30,$90
2022-06-30,$62
2022-03-31,$61
2021-12-31,$80
2021-09-30,$70
2021-06-30,$15
2021-03-31,$46
2020-12-31,$46
2020-09-30,$33
2020-06-30,$59
2020-03-31,$36
2019-12-31,$120
2019-09-30,$14
2019-06-30,$16
2019-03-31,$45
2018-12-31,$18
2018-09-30,$17
2018-06-30,$42
2018-03-31,$20
2017-12-31,$49
2017-09-30,$16
2017-06-30,$28
2017-03-31,$22
2016-12-31,$7
2016-09-30,$19
2016-06-30,$26
2016-03-31,$30
2015-12-31,$26
2015-09-30,$23
2015-06-30,$26
2015-03-31,$24
2014-12-31,$33
2014-09-30,$24
2014-06-30,$27
2014-03-31,$32
2013-12-31,$25
2013-09-30,$27
2013-06-30,$28
2013-03-31,$33
2012-12-31,$25
2012-09-30,$26
2012-06-30,$27
2012-03-31,$32
2011-12-31,$26
2011-09-30,$28
2011-06-30,$28
2011-03-31,$31
2010-12-31,$27
2010-09-30,$26
2010-06-30,$26
2010-03-31,$32
2009-12-31,$25
2009-09-30,$27
2009-06-30,$25
2009-03-31,$28
