Redwood Trust Quarterly Net Income (Millions of US $),Redwood Trust Quarterly Net Income (Millions of US $).1
2024-06-30,$14
2024-03-31,$29
2023-12-31,$19
2023-09-30,$-33
2023-06-30,$1
2023-03-31,$3
2022-12-31,$-44
2022-09-30,$-50
2022-06-30,$-100
2022-03-31,$31
2021-12-31,$53
2021-09-30,$85
2021-06-30,$87
2021-03-31,$94
2020-12-31,$62
2020-09-30,$138
2020-06-30,$161
2020-03-31,$-945
2019-12-31,$48
2019-09-30,$33
2019-06-30,$30
2019-03-31,$53
2018-12-31,$-1
2018-09-30,$40
2018-06-30,$32
2018-03-31,$45
2017-12-31,$30
2017-09-30,$35
2017-06-30,$35
2017-03-31,$36
2016-12-31,$25
2016-09-30,$51
2016-06-30,$40
2016-03-31,$11
2015-12-31,$40
2015-09-30,$19
2015-06-30,$26
2015-03-31,$14
2014-12-31,$27
2014-09-30,$44
2014-06-30,$15
2014-03-31,$12
2013-12-31,$25
2013-09-30,$21
2013-06-30,$64
2013-03-31,$59
2012-12-31,$41
2012-09-30,$39
2012-06-30,$19
2012-03-31,$29
2011-12-31,$-4
2011-09-30,$1
2011-06-30,$9
2011-03-31,$18
2010-12-31,$12
2010-09-30,$20
2010-06-30,$29
2010-03-31,$47
2009-12-31,$39
2009-09-30,$27
2009-06-30,$7
2009-03-31,$-35
