Krystal Biotech Quarterly Net Income (Millions of US $),Krystal Biotech Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$1
2023-12-31,$9
2023-09-30,$81
2023-06-30,$-33
2023-03-31,$-45
2022-12-31,$-32
2022-09-30,$-30
2022-06-30,$-28
2022-03-31,$-50
2021-12-31,$-22
2021-09-30,$-16
2021-06-30,$-16
2021-03-31,$-16
2020-12-31,$-10
2020-09-30,$-10
2020-06-30,$-7
2020-03-31,$-5
2019-12-31,$-5
2019-09-30,$-4
2019-06-30,$-5
2019-03-31,$-4
2018-12-31,$-4
2018-09-30,$-3
2018-06-30,$-2
2018-03-31,$-2
2017-12-31,$-1
2017-09-30,$-5
2017-06-30,$-1
2017-03-31,$-0
2016-12-31,
2016-09-30,$-0
