MDU Resources Quarterly Net Income (Millions of US $),MDU Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$60
2024-03-31,$101
2023-12-31,$171
2023-09-30,$75
2023-06-30,$131
2023-03-31,$38
2022-12-31,$117
2022-09-30,$148
2022-06-30,$71
2022-03-31,$32
2021-12-31,$87
2021-09-30,$139
2021-06-30,$100
2021-03-31,$52
2020-12-31,$112
2020-09-30,$153
2020-06-30,$100
2020-03-31,$25
2019-12-31,$95
2019-09-30,$138
2019-06-30,$62
2019-03-31,$41
2018-12-31,$79
2018-09-30,$107
2018-06-30,$44
2018-03-31,$42
2017-12-31,$115
2017-09-30,$87
2017-06-30,$41
2017-03-31,$37
2016-12-31,$66
2016-09-30,$83
2016-06-30,$-109
2016-03-31,$25
2015-12-31,$52
2015-09-30,$-140
2015-06-30,$-230
2015-03-31,$-306
2014-12-31,$84
2014-09-30,$103
2014-06-30,$54
2014-03-31,$56
2013-12-31,$91
2013-09-30,$84
2013-06-30,$46
2013-03-31,$56
2012-12-31,$-61
2012-09-30,$-30
2012-06-30,$54
2012-03-31,$36
2011-12-31,$61
2011-09-30,$64
2011-06-30,$45
2011-03-31,$43
2010-12-31,$89
2010-09-30,$61
2010-06-30,$49
2010-03-31,$42
2009-12-31,$72
2009-09-30,$92
2009-06-30,$55
2009-03-31,$-344
