Evergy Quarterly Net Income (Millions of US $),Evergy Quarterly Net Income (Millions of US $).1
2024-06-30,$207
2024-03-31,$123
2023-12-31,$58
2023-09-30,$352
2023-06-30,$179
2023-03-31,$143
2022-12-31,$8
2022-09-30,$428
2022-06-30,$195
2022-03-31,$123
2021-12-31,$53
2021-09-30,$449
2021-06-30,$185
2021-03-31,$192
2020-12-31,$51
2020-09-30,$365
2020-06-30,$133
2020-03-31,$69
2019-12-31,$64
2019-09-30,$367
2019-06-30,$140
2019-03-31,$100
2018-12-31,$19
2018-09-30,$355
2018-06-30,$102
2018-03-31,$61
2017-12-31,$34
2017-09-30,$158
2017-06-30,$72
2017-03-31,$60
2016-12-31,$54
2016-09-30,$155
2016-06-30,$72
2016-03-31,$66
2015-12-31,$40
2015-09-30,$138
2015-06-30,$64
2015-03-31,$51
2014-12-31,$43
2014-09-30,$147
2014-06-30,$53
2014-03-31,$69
2013-12-31,$41
2013-09-30,$133
2013-06-30,$67
2013-03-31,$51
2012-12-31,$45
2012-09-30,$139
2012-06-30,$61
2012-03-31,$27
2011-12-31,$19
2011-09-30,$134
2011-06-30,$44
2011-03-31,$31
2010-12-31,$6
2010-09-30,$114
2010-06-30,$53
2010-03-31,$30
2009-12-31,$11
2009-09-30,$81
2009-06-30,$38
2009-03-31,$44
