Getty Realty Quarterly Net Income (Millions of US $),Getty Realty Quarterly Net Income (Millions of US $).1
2024-06-30,$17
2024-03-31,$17
2023-12-31,$17
2023-09-30,$16
2023-06-30,$14
2023-03-31,$14
2022-12-31,$27
2022-09-30,$13
2022-06-30,$31
2022-03-31,$19
2021-12-31,$18
2021-09-30,$14
2021-06-30,$13
2021-03-31,$18
2020-12-31,$34
2020-09-30,$12
2020-06-30,$11
2020-03-31,$13
2019-12-31,$13
2019-09-30,$12
2019-06-30,$13
2019-03-31,$11
2018-12-31,$12
2018-09-30,$11
2018-06-30,$14
2018-03-31,$10
2017-12-31,$13
2017-09-30,$9
2017-06-30,$15
2017-03-31,$10
2016-12-31,$8
2016-09-30,$9
2016-06-30,$14
2016-03-31,$8
2015-12-31,$20
2015-09-30,$7
2015-06-30,$12
2015-03-31,$-1
2014-12-31,$-3
2014-09-30,$10
2014-06-30,$7
2014-03-31,$10
2013-12-31,$5
2013-09-30,$42
2013-06-30,$13
2013-03-31,$10
2012-12-31,$6
2012-09-30,$-3
2012-06-30,$4
2012-03-31,$6
2011-12-31,$-19
2011-09-30,$5
2011-06-30,$15
2011-03-31,$11
2010-12-31,$13
2010-09-30,$13
2010-06-30,$14
2010-03-31,$12
2009-12-31,$11
2009-09-30,$12
2009-06-30,$14
2009-03-31,$10
