Sensient Technologies Quarterly Net Income (Millions of US $),Sensient Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$31
2023-12-31,$-6
2023-09-30,$32
2023-06-30,$34
2023-03-31,$34
2022-12-31,$29
2022-09-30,$36
2022-06-30,$39
2022-03-31,$37
2021-12-31,$27
2021-09-30,$34
2021-06-30,$26
2021-03-31,$32
2020-12-31,$25
2020-09-30,$33
2020-06-30,$31
2020-03-31,$21
2019-12-31,$-17
2019-09-30,$32
2019-06-30,$34
2019-03-31,$33
2018-12-31,$33
2018-09-30,$47
2018-06-30,$39
2018-03-31,$38
2017-12-31,$13
2017-09-30,$32
2017-06-30,$31
2017-03-31,$13
2016-12-31,$31
2016-09-30,$36
2016-06-30,$28
2016-03-31,$31
2015-12-31,$19
2015-09-30,$28
2015-06-30,$29
2015-03-31,$31
2014-12-31,$25
2014-09-30,$21
2014-06-30,$29
2014-03-31,$-2
2013-12-31,$28
2013-09-30,$32
2013-06-30,$32
2013-03-31,$21
2012-12-31,$27
2012-09-30,$33
2012-06-30,$35
2012-03-31,$29
2011-12-31,$29
2011-09-30,$32
2011-06-30,$33
2011-03-31,$26
2010-12-31,$26
2010-09-30,$29
2010-06-30,$29
2010-03-31,$23
2009-12-31,$16
2009-09-30,$23
2009-06-30,$26
2009-03-31,$22
