Prosperity Bancshares Quarterly Net Income (Millions of US $),Prosperity Bancshares Quarterly Net Income (Millions of US $).1
2024-06-30,$112
2024-03-31,$110
2023-12-31,$95
2023-09-30,$112
2023-06-30,$87
2023-03-31,$125
2022-12-31,$138
2022-09-30,$136
2022-06-30,$128
2022-03-31,$122
2021-12-31,$127
2021-09-30,$129
2021-06-30,$131
2021-03-31,$133
2020-12-31,$137
2020-09-30,$130
2020-06-30,$131
2020-03-31,$131
2019-12-31,$86
2019-09-30,$82
2019-06-30,$82
2019-03-31,$82
2018-12-31,$83
2018-09-30,$83
2018-06-30,$82
2018-03-31,$74
2017-12-31,$67
2017-09-30,$68
2017-06-30,$69
2017-03-31,$69
2016-12-31,$69
2016-09-30,$69
2016-06-30,$68
2016-03-31,$69
2015-12-31,$70
2015-09-30,$71
2015-06-30,$72
2015-03-31,$74
2014-12-31,$78
2014-09-30,$77
2014-06-30,$76
2014-03-31,$67
2013-12-31,$63
2013-09-30,$55
2013-06-30,$54
2013-03-31,$49
2012-12-31,$48
2012-09-30,$46
2012-06-30,$37
2012-03-31,$36
2011-12-31,$36
2011-09-30,$36
2011-06-30,$35
2011-03-31,$34
2010-12-31,$33
2010-09-30,$32
2010-06-30,$32
2010-03-31,$31
2009-12-31,$31
2009-09-30,$29
2009-06-30,$27
2009-03-31,$25
