PriceSmart Quarterly Net Income (Millions of US $),PriceSmart Quarterly Net Income (Millions of US $).1
2024-05-31,$32
2024-02-29,$39
2023-11-30,$38
2023-08-31,$14
2023-05-31,$30
2023-02-28,$31
2022-11-30,$33
2022-08-31,$23
2022-05-31,$19
2022-02-28,$31
2021-11-30,$30
2021-08-31,$18
2021-05-31,$23
2021-02-28,$28
2020-11-30,$28
2020-08-31,$20
2020-05-31,$13
2020-02-29,$26
2019-11-30,$20
2019-08-31,$21
2019-05-31,$14
2019-02-28,$24
2018-11-30,$15
2018-08-31,$19
2018-05-31,$19
2018-02-28,$14
2017-11-30,$22
2017-08-31,$20
2017-05-31,$19
2017-02-28,$27
2016-11-30,$25
2016-08-31,$22
2016-05-31,$17
2016-02-29,$26
2015-11-30,$24
2015-08-31,$22
2015-05-31,$21
2015-02-28,$25
2014-11-30,$21
2014-08-31,$21
2014-05-31,$21
2014-02-28,$28
2013-11-30,$21
2013-08-31,$20
2013-05-31,$18
2013-02-28,$24
2012-11-30,$20
2012-08-31,$17
2012-05-31,$15
2012-02-29,$20
2011-11-30,$14
2011-08-31,$12
2011-05-31,$16
2011-02-28,$18
2010-11-30,$15
2010-08-31,$13
2010-05-31,$12
2010-02-28,$14
2009-11-30,$10
2009-08-31,$10
2009-05-31,$9
2009-02-28,$13
