NewMarket Quarterly Net Income (Millions of US $),NewMarket Quarterly Net Income (Millions of US $).1
2024-06-30,$111
2024-03-31,$107
2023-12-31,$80
2023-09-30,$111
2023-06-30,$99
2023-03-31,$97
2022-12-31,$90
2022-09-30,$63
2022-06-30,$66
2022-03-31,$59
2021-12-31,$17
2021-09-30,$52
2021-06-30,$52
2021-03-31,$70
2020-12-31,$67
2020-09-30,$96
2020-06-30,$22
2020-03-31,$85
2019-12-31,$50
2019-09-30,$68
2019-06-30,$74
2019-03-31,$62
2018-12-31,$62
2018-09-30,$58
2018-06-30,$53
2018-03-31,$60
2017-12-31,$4
2017-09-30,$60
2017-06-30,$63
2017-03-31,$64
2016-12-31,$46
2016-09-30,$71
2016-06-30,$64
2016-03-31,$62
2015-12-31,$54
2015-09-30,$62
2015-06-30,$59
2015-03-31,$64
2014-12-31,$52
2014-09-30,$57
2014-06-30,$67
2014-03-31,$57
2013-12-31,$54
2013-09-30,$79
2013-06-30,$64
2013-03-31,$68
2012-12-31,$53
2012-09-30,$65
2012-06-30,$55
2012-03-31,$67
2011-12-31,$34
2011-09-30,$71
2011-06-30,$52
2011-03-31,$50
2010-12-31,$49
2010-09-30,$46
2010-06-30,$40
2010-03-31,$42
2009-12-31,$46
2009-09-30,$57
2009-06-30,$31
2009-03-31,$29
