Nurix Therapeutics Quarterly Net Income (Millions of US $),Nurix Therapeutics Quarterly Net Income (Millions of US $).1
2024-08-31,$-49
2024-05-31,$-45
2024-02-29,$-42
2023-11-30,$-42
2023-08-31,$-37
2023-05-31,$-24
2023-02-28,$-41
2022-11-30,$-47
2022-08-31,$-46
2022-05-31,$-45
2022-02-28,$-43
2021-11-30,$-38
2021-08-31,$-29
2021-05-31,$-26
2021-02-28,$-24
2020-11-30,$-20
2020-08-31,$-19
2020-05-31,$8
2020-02-29,$-12
2019-11-30,
2019-08-31,$-2
2019-05-31,
2018-11-30,
