DiamondRock Hospitality Quarterly Net Income (Millions of US $),DiamondRock Hospitality Quarterly Net Income (Millions of US $).1
2024-06-30,$22
2024-03-31,$6
2023-12-31,$8
2023-09-30,$25
2023-06-30,$37
2023-03-31,$7
2022-12-31,$16
2022-09-30,$26
2022-06-30,$50
2022-03-31,$8
2021-12-31,$-5
2021-09-30,$-4
2021-06-30,$-21
2021-03-31,$-173
2020-12-31,$-210
2020-09-30,$-80
2020-06-30,$-73
2020-03-31,$-35
2019-12-31,$134
2019-09-30,$12
2019-06-30,$29
2019-03-31,$9
2018-12-31,$24
2018-09-30,$31
2018-06-30,$28
2018-03-31,$4
2017-12-31,$25
2017-09-30,$22
2017-06-30,$37
2017-03-31,$9
2016-12-31,$24
2016-09-30,$30
2016-06-30,$44
2016-03-31,$17
2015-12-31,$26
2015-09-30,$24
2015-06-30,$25
2015-03-31,$11
2014-12-31,$64
2014-09-30,$44
2014-06-30,$52
2014-03-31,$4
2013-12-31,$30
2013-09-30,$9
2013-06-30,$15
2013-03-31,$-4
2012-12-31,$17
2012-09-30,$-45
2012-06-30,$9
2012-03-31,$3
2011-12-31,$5
2011-09-30,$-1
2011-06-30,$-1
2011-03-31,$-11
2010-12-31,$2
2010-09-30,$-4
2010-06-30,$1
2010-03-31,$-8
2009-12-31,$-9
2009-09-30,$1
2009-06-30,$2
2009-03-31,$-5
